verb,noun,instruction
use,box,"If a bakery sells cookies in boxes of 12 or 16 cookies, and they need to package exactly 48 cookies for a catering order, how many boxes should they use?"
produce,can,"In a factory, machines a and b can produce cans at rates of 200 and 300 cans per hour, respectively. if they work together for 6 hours, how many cans will they have produced in total?"
sell,type,"A bakery sells three types of cookies: chocolate chip, oatmeal raisin, and peanut butter. the ratio of chocolate chip cookies to oatmeal raisin cookies is 3:5, and the ratio of peanut butter cookies to chocolate chip cookies is 2:3. what is the ratio of peanut butter cookies to oatmeal raisin cookies?"
hold,box,"In a shop, there are 3 shelves, each shelf can hold 6 boxes, and the total number of boxes is 72. how many boxes can be placed on one shelf?"
have,tap,A cylindrical water tank with a diameter of 6 meters has a tap at the bottom that fills it at a rate of 0.5 cubic meters per minute. how many minutes will it take to fill the tank?
sell,loaf,A bakery sells 250 loaves of bread per day. they make their dough rise for 2 hours before baking. what is the average time spent on each loaf of bread if they bake 500 loaves in one shift?
plan,trip,"Tom is planning a road trip from city a to city b that covers a total distance of 540 miles. if he drives at an average speed of 40 miles per hour for the first 120 miles, and then accelerates to 60 miles per hour for the remaining part of the journey, which percentage of the total distance does he cover during this accelerated phase?"
write,code,"In base-4 number system, a certain code represents numbers using only digits $0$, $1$, $2$ and $3$. write a 5-digit code that denotes the decimal value $37_{10}$."
sell,cake,"A bakery sells large cakes and small cupcakes in boxes of 12 items each. if a large cake weighs 5 pounds more than two small cupcakes, and a box of small cupcakes contains x items with a total weight of 2x pounds, what is the value of x if the average weight of all the small cupcakes is 0.47 pounds?"
have,pencil,"You have $10$ colored pencils in your pencil case, and you want to divide them evenly into bags of 3 pencils each. however, you also want to keep some pencils separate. how many different ways can you do this, considering that some bags can be empty?"
have,digit,"In base-5, the number represented as 1234 has no digits greater than 3. how many different ways can it be rewritten in base-10?"
save,money,"John and michael have been saving money for a new bike, with john saving $x$ dollars per week and michael saving y dollars per week. if they both save for the same amount of time, how much will they have saved after one year if john saves 20% more than michael?"
offer,product,"An online retailer offers a product at a discount based on the customer's location. the price of the product is $\$25$if the customer lives in the northern region, \$18$if they live in the southern region, and \$12$if they live in the western region. if there are an equal number of customers in each region, how many customers would the retailer need to have in total to ensure that exactly half of them live in each region?"
contain,zero,"Dr. math's four-digit house number $abcd$ contains no zeroes and can be split into two different two-digit primes ``$ab$'' and ``$cd$'' where the digits $a$, $b$, $c$ and $d$ are not necessarily distinct. if each of the two-digit primes is less than 40, how many such house numbers are possible? two 2-digit prime numbers have to be selected from the set {11,13,17,19,23,29,31,37}. since there are 8 choices for the first 2-digit number and 7 remaining choices for the second 2-digit number, a total of $8 \cdot 7 = 56$ combinations are possible."
call,number,"We call a number a mountain number if its middle digit is larger than any other digit. for example, 284 is a mountain number. how many 3-digit mountain numbers are there? the first and last digits must be equal in order for it to be a mountain number, since the middle digit has to be greater than both. the first and last digits can be 1-9 (total of 9 possibilities) and the middle digit can be any integer that is greater than both of them, leaving at most 7 options. however, this doesn't work when the first and last digits are the same (for example, 111), so we have to exclude those cases. thus the answer is $(9)(7)-8=55$."
sell,loaf,A bakery sells 240 loaves of bread per day. the bakery makes a profit of $2.50 on each loaf if it sells them for $4.75 and costs $2.25 per loaf. does the bakery make a profit or loss? by how much does the bakery lose money per day?
sell,total,"A bakery sells a total of 240 loaves of bread per day. they have two display cases, case a that holds only whole wheat bread and case b that holds only white bread. if they sell 120 whole wheat loaves and 120 white bread loaves, how many more loaves does case a hold than case b?"
save,money,"Tom has been saving money for a new bike and has $x$ dollars in his savings account. he wants to buy a bike that costs $\frac{3}{2}x^{6}$ dollars. if he already has some money saved, what type of function represents the amount of money he will have after n years, assuming he saves an equal amount each year?"
have,shelf,"A bookshelf has 5 shelves, and each shelf can hold 8 boxes of pencils. how many boxes of pencils can the bookshelf hold in total if it is not full?"
have,classroom,"A school has 8 classrooms, each with a capacity of 20 students. if each student attends only one classroom, how many total places must be reserved for all students?"
produce,loaf,"In a bakery, a batch of dough can produce 240 identical loaves. each loaf weighs approximately 0.75 kilograms and takes up about 0.30 cubic meters of space. if you want to package these loaves in boxes that hold exactly 60 kilograms per box, what is the volume of each box needed?"
have,sale,"A store is having a sale on books, with a discount of 15% off all books that cost more than $20. if a book costs $24, how much will it cost during the sale?"
